rally,serve,hitpoint,speed,net.clearance,distance.from.sideline,depth,outside.sideline,outside.baseline,player.distance.travelled,player.impact.depth,player.impact.distance.from.center,player.depth,player.distance.from.center,previous.speed,previous.net.clearance,previous.distance.from.sideline,previous.depth,opponent.depth,opponent.distance.from.center,same.side,previous.hitpoint,previous.time.to.net,server.is.impact.player,id,outcome
4,1,B,35.51504197,-0.021724541,3.474765783,6.797621362,False,False,1.467570101,14.1758,1.1448,13.6704,0.233,32.31359152,1.350532511,2.449182398,0.7054351759999999,12.5628,2.0724,True,F,0.445317963,False,5718,UE
4,2,B,33.38264003,1.114202377,2.540801064,2.6087082390000003,False,True,2.311931357,12.7396,4.6258,12.6358,2.3162,34.06078799,0.760498827,0.583291279,3.856600252,12.3544,5.1124,False,B,0.432433973,False,371,FE
23,1,B,22.3166902,-0.254046113,3.533166304,9.435748889,False,False,3.903728131,15.3782,1.4336,13.6996,2.0908,39.80662844,0.377732117,1.11525031,2.908891607,13.862,1.6564,False,F,0.397537762,True,7948,FE
9,1,F,36.83730892,0.76669374,0.5868845220000001,3.3421800260000003,True,False,0.5837452870000001,13.7308,0.0312,13.1492,0.0188,25.01881759,1.23903276,3.256694687,0.557553657,14.2596,0.1606,True,B,0.671984248,True,9312,UE
4,1,B,35.54420828,0.116161877,0.918724921,5.499118581,False,False,2.333455892,15.1992,1.7596,14.130999999999998,0.315,36.79097938,0.165731163,1.431145985,3.945317217,11.3658,1.1082,False,F,0.340411071,False,7667,W
10,1,B,39.01218641,0.34988868,0.48509783,3.264708218,True,False,0.804337491,13.1496,0.6864,13.8902,1.0002,29.99418713,0.486882911,2.077334887,5.007206998,13.422,2.0316,True,F,0.533949676,False,9079,UE
7,1,B,34.58567177,1.234043937,3.083444775,1.22227892,False,True,2.618519742,14.1286,2.6224,14.0394,0.0054,34.15489353,0.197445017,1.646987968,5.729710497999999,12.2528,1.1038,False,F,0.409774379,True,2598,UE
3,1,F,34.44574154,0.387827529,0.8732018309999999,1.992688921,False,False,1.925742454,11.3576,2.465,11.4776,0.5429999999999999,34.61307588,0.227801887,2.162768951,5.043818956,12.4838,4.5872,False,F,0.419794174,True,7945,W
11,2,F,21.83017176,0.541134558,0.494508176,0.346735346,False,True,3.074409478,6.649,0.9376,8.889,1.1682,32.49363487,0.490669827,2.218269216,5.738677488,15.8012,2.8932,False,V,0.5821233720000001,True,231,UE
20,1,F,45.37917231,0.265429822,1.307052938,5.119994125,False,False,4.8425179730000005,8.5002,1.3718,13.3046,0.7654,18.34311859,4.346790638,3.397721959,4.251290145,13.7284,1.6916,True,F,1.225011081,False,327,W
9,1,F,33.44386599,2.632042105,0.61630902,4.149696577,True,True,4.0155334489999985,16.6772,2.8474,15.5234,0.9988,35.64824406,0.414880529,0.589479911,2.325037328,10.3184,2.8280000000000003,False,F,0.31251411,True,7770,FE
19,1,B,24.42012978,1.292726559,0.414690816,0.243340222,False,True,1.942537269,12.706,2.0772,14.6008,1.6492,25.61482377,0.364401135,2.123593466,3.667510227,13.2598,2.0954,False,B,0.6169691389999999,True,416,UE
9,2,B,38.16569869,0.25728657,0.925475136,2.9248656060000005,True,False,1.705334278,13.1814,3.0902,13.2626,1.3868,33.39464694,0.22829937100000006,1.787083212,6.939305332999999,15.1124,3.3652,False,F,0.5597425429999999,True,832,UE
6,2,F,34.75203111,1.876284521,3.392769252,2.432075114,False,True,1.948458365,16.0638,3.6182,15.0704,1.942,37.12666152,1.077967114,0.988987774,2.065229016,14.2862,1.6954,False,F,0.465237825,False,336,UE
5,2,F,37.3212106,1.13168915,0.757593507,0.719832538,False,True,2.853524193,13.4582,2.8162,13.3086,0.0334,35.63532628,0.5352642160000001,1.751000289,4.539789989,14.8152,2.3472,True,F,0.479232529,True,695,UE
7,1,U,36.9847598,-0.080510712,2.604461136,7.903261911,False,False,2.700817424,17.076,1.5778,15.767,0.7846,43.21695626,0.053282866,1.3629898969999998,4.762682802,10.851,3.9264,False,F,0.37118915,True,1644,UE
7,1,F,36.14041169,-0.018193715,2.538348528,7.412126538,False,False,3.490040229,13.0162,1.4034,13.2346,2.0798,35.76524483,0.131911459,2.9227508,7.027153909,15.0244,0.7144,True,F,0.502078152,True,1202,UE
3,1,F,36.09785757,0.440323292,1.963689876,2.293355029,False,False,1.032713494,11.1582,1.7734,11.3172,0.753,31.84374468,0.32861785600000004,3.103084815,5.60314957,12.667,4.259,False,F,0.457435564,True,3118,W
7,1,F,8.28545661,0.116761325,2.2444445930000003,10.16634711,False,False,1.163080909,3.5254,0.1904,4.106,0.8174,27.06714775,0.524027647,2.637368707,8.914173502999999,13.706,2.2566,True,V,0.650771412,True,6659,W
5,1,F,13.83595824,0.8421467509999999,0.8503416979999999,6.539742633,False,False,2.74882134,4.163,1.3032,5.7170000000000005,0.9642,27.81622278,0.74600441,1.669477423,8.005974687,11.4186,3.1822,False,V,0.455130819,True,953,W
12,2,F,40.89640512,0.492491095,0.16000250800000002,4.2352123530000005,True,False,2.166336419,15.6596,4.7528,15.1284,2.6526,38.95661883,0.856383075,0.337310454,2.836556228,13.4194,3.1156,False,F,0.414613377,False,7809,FE
3,1,F,31.69176844,0.850040845,0.834551505,2.617415252,False,True,3.066607565,9.4632,3.3148,11.3168,0.8718,23.99531726,0.212454787,1.8002721030000002,7.384606731,12.7048,3.5192,False,U,0.643557157,True,6516,UE
7,1,B,37.27449048,0.302867747,0.192148572,3.302002715,False,False,1.1223384159999998,12.6064,0.363,13.1128,1.3646,30.28571337,0.7377875620000001,3.085550281,4.66234299,14.657,1.7274,False,F,0.575441371,True,1361,W
4,1,F,24.50795539,4.280510941,1.632407468,0.835273498,False,True,3.492689903,14.8838,3.2836,14.0138,0.099,33.61238647,0.34345849799999995,1.143456373,2.652890175,7.131,0.9516,False,F,0.278534704,False,9392,FE
16,2,U,27.96793485,-0.946991881,0.544084064,0.827361653,False,True,1.429066842,13.4144,2.3858,13.0424,1.006,34.05982508,0.5053413210000001,3.724409888,2.553368765,12.4492,2.2526,False,U,0.422594777,False,4599,UE
4,2,V,31.63469313,0.005702815,3.384268194,11.87468575,False,False,1.025590425,14.422,0.7036,13.4574,0.3552,32.95465356,0.69703106,2.811082177,2.64385299,12.5076,0.1248,False,F,0.422669228,False,4093,W
3,2,B,24.18106196,1.166528403,2.134669356,0.164817174,False,True,1.583668349,13.0386,0.399,11.6374,0.339,33.89217531,0.495468118,2.573982829,4.428249983,12.5504,3.2494,False,B,0.415070871,True,1641,UE
7,1,F,40.99897042,0.8898718179999999,2.833780095,0.755849372,False,True,3.2040756860000004,13.7544,3.4514,13.6052,0.2508,37.0460117,0.655294307,0.95106971,3.592904359,13.7032,1.4034,False,F,0.455638763,True,7752,UE
3,1,F,38.06481826,0.11601996,0.193612527,4.118534645,False,False,0.943661804,11.2734,0.5378,11.2842,0.4058,27.21909315,0.133877051,3.97087595,7.252267807999999,13.0164,2.8658,False,B,0.556547776,True,3300,W
11,2,F,37.53888052,0.713129922,1.309571797,3.652460712,False,False,5.507198595,5.6688,1.301,11.1738,1.1454,21.9589991,2.646182465,2.078285552,6.459416792000001,14.9212,1.8984,True,V,0.972831895,True,6845,W
10,1,F,32.05381244,2.386617764,1.340060487,2.035590617,False,True,1.591526764,13.4264,3.6168,13.2352,2.0368,37.52277389,0.621036315,2.148823273,2.380758377,14.3298,3.0652,False,B,0.458991614,False,5758,UE
7,2,U,17.31685882,0.391821881,0.955120424,2.942510847,False,False,1.502667615,3.2142,0.8948,4.7102,1.0362,43.37732914,0.24905600100000005,3.742859867,9.067420408,14.7438,3.337,True,V,0.403658353,True,1614,W
4,1,B,37.91549018,0.571730958,1.045053498,2.942628069,False,False,2.413038292,13.8166,2.0674,13.753,0.3448,34.37276129,0.166707485,2.087564225,5.761775129,12.0934,1.4409999999999998,True,F,0.400550335,False,8154,FE
6,2,F,40.12931256,0.754934022,0.005699976999999999,0.110178429,False,True,4.186494194,13.0798,2.1424,13.9058,1.9618,27.62568382,1.008770243,2.023392533,5.63638315,14.7522,0.5348,True,F,0.668196639,False,9482,UE
9,2,F,35.17588257,0.043886671,0.094705238,5.273091739,False,False,3.046643071,13.855,2.3946,13.8712,0.652,38.88587627,0.484609551,1.714529872,3.2421049180000003,13.7504,0.0804,True,F,0.416032512,True,2366,W
4,2,F,34.96098856,0.694679332,0.157489645,2.471079392,True,False,1.371775842,12.6144,3.6726,13.128,2.4006,24.35254176,0.481293665,2.137307177,2.877526987,12.285,3.3996,False,B,0.585519524,False,2913,UE
4,2,B,37.51847908,1.06412468,3.915922867,0.808822068,False,True,2.026862965,14.4604,1.2472,13.7236,0.6409999999999999,36.75331889,0.543678409,2.376873933,2.771383811,12.8224,0.8522,True,F,0.398336157,False,846,UE
3,2,F,41.72623974,0.50611053,0.7537374029999999,1.420508022,False,False,2.043822399,12.3116,2.5722,11.3306,0.7792,29.69443589,0.92370524,1.548875505,4.974271471000001,15.0572,3.3486,False,B,0.606382305,True,4726,W
